
========== Start Training (Seed: 0) ==========batch 64
Epoch 0, train_loss 1.175640, valid ic 0.0024, icir 0.021, rankic 0.0113, rankicir 0.091.
Epoch 1, train_loss 1.112137, valid ic 0.0179, icir 0.161, rankic 0.0278, rankicir 0.231.
Epoch 2, train_loss 1.085186, valid ic 0.0283, icir 0.254, rankic 0.0409, rankicir 0.340.
Epoch 3, train_loss 1.067590, valid ic 0.0377, icir 0.331, rankic 0.0501, rankicir 0.411.
Epoch 4, train_loss 1.055082, valid ic 0.0457, icir 0.386, rankic 0.0579, rankicir 0.466.
Epoch 5, train_loss 1.045051, valid ic 0.0522, icir 0.437, rankic 0.0639, rankicir 0.513.
Epoch 6, train_loss 1.037450, valid ic 0.0553, icir 0.453, rankic 0.0672, rankicir 0.538.
Epoch 7, train_loss 1.030540, valid ic 0.0577, icir 0.473, rankic 0.0689, rankicir 0.563.
Epoch 8, train_loss 1.025076, valid ic 0.0531, icir 0.454, rankic 0.0666, rankicir 0.577.
Epoch 9, train_loss 1.020667, valid ic 0.0522, icir 0.449, rankic 0.0661, rankicir 0.572.
Epoch 10, train_loss 1.016036, valid ic 0.0500, icir 0.434, rankic 0.0647, rankicir 0.570.
Epoch 11, train_loss 1.012931, valid ic 0.0519, icir 0.446, rankic 0.0660, rankicir 0.574.
Epoch 12, train_loss 1.010503, valid ic 0.0590, icir 0.482, rankic 0.0705, rankicir 0.580.
Epoch 13, train_loss 1.008166, valid ic 0.0561, icir 0.454, rankic 0.0685, rankicir 0.561.
Epoch 14, train_loss 1.006810, valid ic 0.0581, icir 0.466, rankic 0.0687, rankicir 0.556.
Epoch 15, train_loss 1.003937, valid ic 0.0590, icir 0.466, rankic 0.0692, rankicir 0.554.
Epoch 16, train_loss 1.002511, valid ic 0.0586, icir 0.470, rankic 0.0685, rankicir 0.559.
Epoch 17, train_loss 1.000978, valid ic 0.0618, icir 0.490, rankic 0.0713, rankicir 0.575.
Epoch 18, train_loss 0.999208, valid ic 0.0640, icir 0.518, rankic 0.0731, rankicir 0.599.
Epoch 19, train_loss 0.998840, valid ic 0.0628, icir 0.513, rankic 0.0724, rankicir 0.597.
Epoch 20, train_loss 0.997580, valid ic 0.0679, icir 0.550, rankic 0.0760, rankicir 0.618.
Epoch 21, train_loss 0.996657, valid ic 0.0646, icir 0.527, rankic 0.0728, rankicir 0.599.
Epoch 22, train_loss 0.995775, valid ic 0.0664, icir 0.534, rankic 0.0744, rankicir 0.605.
Epoch 23, train_loss 0.995362, valid ic 0.0668, icir 0.542, rankic 0.0752, rankicir 0.613.
Epoch 24, train_loss 0.994905, valid ic 0.0673, icir 0.543, rankic 0.0757, rankicir 0.613.
Epoch 25, train_loss 0.994190, valid ic 0.0640, icir 0.525, rankic 0.0746, rankicir 0.620.
Epoch 26, train_loss 0.993590, valid ic 0.0681, icir 0.547, rankic 0.0765, rankicir 0.619.
Epoch 27, train_loss 0.993163, valid ic 0.0679, icir 0.558, rankic 0.0767, rankicir 0.629.
Epoch 28, train_loss 0.992635, valid ic 0.0680, icir 0.561, rankic 0.0772, rankicir 0.638.
Epoch 29, train_loss 0.992036, valid ic 0.0695, icir 0.566, rankic 0.0777, rankicir 0.632.
Epoch 30, train_loss 0.991580, valid ic 0.0742, icir 0.604, rankic 0.0800, rankicir 0.640.
Epoch 31, train_loss 0.991357, valid ic 0.0700, icir 0.573, rankic 0.0786, rankicir 0.639.
Epoch 32, train_loss 0.991261, valid ic 0.0671, icir 0.545, rankic 0.0766, rankicir 0.624.
Epoch 33, train_loss 0.990888, valid ic 0.0708, icir 0.578, rankic 0.0788, rankicir 0.636.
Epoch 34, train_loss 0.990310, valid ic 0.0685, icir 0.572, rankic 0.0778, rankicir 0.641.
Epoch 35, train_loss 0.990214, valid ic 0.0717, icir 0.590, rankic 0.0798, rankicir 0.643.
Epoch 36, train_loss 0.990082, valid ic 0.0689, icir 0.569, rankic 0.0782, rankicir 0.640.
Epoch 37, train_loss 0.989700, valid ic 0.0668, icir 0.555, rankic 0.0774, rankicir 0.639.
Epoch 38, train_loss 0.989216, valid ic 0.0671, icir 0.549, rankic 0.0781, rankicir 0.641.
Epoch 39, train_loss 0.989070, valid ic 0.0708, icir 0.585, rankic 0.0795, rankicir 0.647.
