
========== Start Training (Seed: 1) ==========
Epoch 0, train_loss 1.141455, valid ic 0.0195, icir 0.201, rankic 0.0066, rankicir 0.068.
Epoch 1, train_loss 1.097458, valid ic 0.0393, icir 0.385, rankic 0.0232, rankicir 0.235.
Epoch 2, train_loss 1.075261, valid ic 0.0512, icir 0.488, rankic 0.0348, rankicir 0.349.
Epoch 3, train_loss 1.058963, valid ic 0.0685, icir 0.629, rankic 0.0496, rankicir 0.490.
Epoch 4, train_loss 1.046481, valid ic 0.0724, icir 0.657, rankic 0.0560, rankicir 0.550.
Epoch 5, train_loss 1.036847, valid ic 0.0789, icir 0.681, rankic 0.0637, rankicir 0.585.
Epoch 6, train_loss 1.029818, valid ic 0.0864, icir 0.741, rankic 0.0739, rankicir 0.684.
Epoch 7, train_loss 1.023448, valid ic 0.0962, icir 0.819, rankic 0.0841, rankicir 0.747.
Epoch 8, train_loss 1.018111, valid ic 0.0944, icir 0.802, rankic 0.0826, rankicir 0.710.
Epoch 9, train_loss 1.013885, valid ic 0.0910, icir 0.785, rankic 0.0810, rankicir 0.719.
Epoch 10, train_loss 1.010826, valid ic 0.0931, icir 0.809, rankic 0.0829, rankicir 0.731.
Epoch 11, train_loss 1.007973, valid ic 0.0910, icir 0.784, rankic 0.0817, rankicir 0.722.
Epoch 12, train_loss 1.005856, valid ic 0.0857, icir 0.724, rankic 0.0791, rankicir 0.697.
Epoch 13, train_loss 1.004237, valid ic 0.0902, icir 0.767, rankic 0.0821, rankicir 0.719.
Epoch 14, train_loss 1.002369, valid ic 0.0882, icir 0.756, rankic 0.0828, rankicir 0.732.
Epoch 15, train_loss 1.000772, valid ic 0.0855, icir 0.721, rankic 0.0826, rankicir 0.725.
Epoch 16, train_loss 0.999878, valid ic 0.0855, icir 0.715, rankic 0.0835, rankicir 0.729.
Epoch 17, train_loss 0.998547, valid ic 0.0854, icir 0.708, rankic 0.0843, rankicir 0.732.
Epoch 18, train_loss 0.998229, valid ic 0.0883, icir 0.742, rankic 0.0867, rankicir 0.752.
Epoch 19, train_loss 0.997373, valid ic 0.0870, icir 0.728, rankic 0.0866, rankicir 0.750.
Epoch 20, train_loss 0.996120, valid ic 0.0875, icir 0.746, rankic 0.0875, rankicir 0.768.
Epoch 21, train_loss 0.995274, valid ic 0.0871, icir 0.744, rankic 0.0872, rankicir 0.766.
Epoch 22, train_loss 0.995027, valid ic 0.0851, icir 0.723, rankic 0.0875, rankicir 0.764.
Epoch 23, train_loss 0.994438, valid ic 0.0873, icir 0.745, rankic 0.0889, rankicir 0.779.
Epoch 24, train_loss 0.993937, valid ic 0.0874, icir 0.732, rankic 0.0892, rankicir 0.770.
Epoch 25, train_loss 0.993486, valid ic 0.0888, icir 0.744, rankic 0.0906, rankicir 0.777.
Epoch 26, train_loss 0.993069, valid ic 0.0875, icir 0.744, rankic 0.0899, rankicir 0.782.
Epoch 27, train_loss 0.992469, valid ic 0.0875, icir 0.734, rankic 0.0905, rankicir 0.778.
Epoch 28, train_loss 0.992232, valid ic 0.0852, icir 0.723, rankic 0.0893, rankicir 0.775.
Epoch 29, train_loss 0.991623, valid ic 0.0847, icir 0.730, rankic 0.0896, rankicir 0.789.
Epoch 30, train_loss 0.991197, valid ic 0.0859, icir 0.731, rankic 0.0907, rankicir 0.786.
Epoch 31, train_loss 0.991022, valid ic 0.0859, icir 0.730, rankic 0.0905, rankicir 0.784.
Epoch 32, train_loss 0.990981, valid ic 0.0862, icir 0.721, rankic 0.0909, rankicir 0.779.
Epoch 33, train_loss 0.990508, valid ic 0.0857, icir 0.729, rankic 0.0910, rankicir 0.789.
Epoch 34, train_loss 0.990448, valid ic 0.0875, icir 0.746, rankic 0.0928, rankicir 0.803.
Epoch 35, train_loss 0.990242, valid ic 0.0839, icir 0.706, rankic 0.0907, rankicir 0.785.
Epoch 36, train_loss 0.989605, valid ic 0.0867, icir 0.739, rankic 0.0923, rankicir 0.798.
Epoch 37, train_loss 0.989360, valid ic 0.0860, icir 0.727, rankic 0.0925, rankicir 0.795.
Epoch 38, train_loss 0.989074, valid ic 0.0865, icir 0.747, rankic 0.0922, rankicir 0.804.
Epoch 39, train_loss 0.989021, valid ic 0.0839, icir 0.718, rankic 0.0911, rankicir 0.798.
