
========== Start Training (Seed: 1) ==========
Epoch 0, train_loss 1.160704, valid ic 0.0086, icir 0.085, rankic -0.0011, rankicir -0.011.
Epoch 1, train_loss 1.122261, valid ic 0.0213, icir 0.218, rankic 0.0076, rankicir 0.078.
Epoch 2, train_loss 1.102613, valid ic 0.0300, icir 0.302, rankic 0.0150, rankicir 0.153.
Epoch 3, train_loss 1.090418, valid ic 0.0406, icir 0.400, rankic 0.0239, rankicir 0.245.
Epoch 4, train_loss 1.077564, valid ic 0.0482, icir 0.465, rankic 0.0311, rankicir 0.316.
Epoch 5, train_loss 1.067408, valid ic 0.0554, icir 0.524, rankic 0.0375, rankicir 0.378.
Epoch 6, train_loss 1.059596, valid ic 0.0624, icir 0.575, rankic 0.0442, rankicir 0.437.
Epoch 7, train_loss 1.052689, valid ic 0.0658, icir 0.601, rankic 0.0489, rankicir 0.483.
Epoch 8, train_loss 1.045935, valid ic 0.0719, icir 0.637, rankic 0.0545, rankicir 0.517.
Epoch 9, train_loss 1.041085, valid ic 0.0745, icir 0.662, rankic 0.0584, rankicir 0.558.
Epoch 10, train_loss 1.035810, valid ic 0.0789, icir 0.698, rankic 0.0637, rankicir 0.610.
Epoch 11, train_loss 1.032360, valid ic 0.0819, icir 0.708, rankic 0.0689, rankicir 0.643.
Epoch 12, train_loss 1.028170, valid ic 0.0879, icir 0.743, rankic 0.0758, rankicir 0.691.
Epoch 13, train_loss 1.025295, valid ic 0.0912, icir 0.772, rankic 0.0789, rankicir 0.709.
Epoch 14, train_loss 1.021355, valid ic 0.0958, icir 0.807, rankic 0.0811, rankicir 0.711.
Epoch 15, train_loss 1.018275, valid ic 0.0951, icir 0.811, rankic 0.0827, rankicir 0.724.
Epoch 16, train_loss 1.015723, valid ic 0.0954, icir 0.814, rankic 0.0830, rankicir 0.720.
Epoch 17, train_loss 1.013610, valid ic 0.0936, icir 0.802, rankic 0.0822, rankicir 0.720.
Epoch 18, train_loss 1.012356, valid ic 0.0948, icir 0.808, rankic 0.0830, rankicir 0.720.
Epoch 19, train_loss 1.010180, valid ic 0.0932, icir 0.803, rankic 0.0824, rankicir 0.726.
Epoch 20, train_loss 1.009065, valid ic 0.0926, icir 0.791, rankic 0.0822, rankicir 0.721.
Epoch 21, train_loss 1.007757, valid ic 0.0902, icir 0.776, rankic 0.0807, rankicir 0.715.
Epoch 22, train_loss 1.006402, valid ic 0.0899, icir 0.760, rankic 0.0813, rankicir 0.715.
Epoch 23, train_loss 1.004531, valid ic 0.0907, icir 0.772, rankic 0.0818, rankicir 0.719.
Epoch 24, train_loss 1.004234, valid ic 0.0890, icir 0.754, rankic 0.0814, rankicir 0.719.
Epoch 25, train_loss 1.003321, valid ic 0.0893, icir 0.747, rankic 0.0822, rankicir 0.715.
Epoch 26, train_loss 1.001995, valid ic 0.0893, icir 0.760, rankic 0.0823, rankicir 0.723.
Epoch 27, train_loss 1.001449, valid ic 0.0883, icir 0.748, rankic 0.0820, rankicir 0.717.
Epoch 28, train_loss 1.000338, valid ic 0.0878, icir 0.740, rankic 0.0825, rankicir 0.720.
Epoch 29, train_loss 0.999994, valid ic 0.0870, icir 0.746, rankic 0.0829, rankicir 0.734.
Epoch 30, train_loss 0.999055, valid ic 0.0872, icir 0.749, rankic 0.0832, rankicir 0.735.
Epoch 31, train_loss 0.998414, valid ic 0.0860, icir 0.724, rankic 0.0823, rankicir 0.718.
Epoch 32, train_loss 0.997758, valid ic 0.0864, icir 0.729, rankic 0.0832, rankicir 0.728.
Epoch 33, train_loss 0.997506, valid ic 0.0850, icir 0.716, rankic 0.0830, rankicir 0.725.
Epoch 34, train_loss 0.996964, valid ic 0.0851, icir 0.724, rankic 0.0836, rankicir 0.737.
Epoch 35, train_loss 0.996492, valid ic 0.0852, icir 0.717, rankic 0.0847, rankicir 0.740.
Epoch 36, train_loss 0.995754, valid ic 0.0870, icir 0.733, rankic 0.0857, rankicir 0.744.
Epoch 37, train_loss 0.995195, valid ic 0.0857, icir 0.723, rankic 0.0861, rankicir 0.752.
Epoch 38, train_loss 0.995066, valid ic 0.0851, icir 0.719, rankic 0.0854, rankicir 0.746.
Epoch 39, train_loss 0.994925, valid ic 0.0858, icir 0.728, rankic 0.0867, rankicir 0.759.
